model,n_clients,comm_cost,target_dataset,accuracy,precision,recall,f1_score,frequency_true,frequency_pred
fedlr,60,0.0125,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.0125,huga,0.73,0.7123287671232876,0.896551724137931,0.7938931297709924,0.58,0.73
fedlr,60,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.0125,spambase,0.91,0.9583333333333334,0.7419354838709677,0.8363636363636363,0.31,0.24
fedlr,60,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.025,huga,0.82,0.5,0.16666666666666666,0.25,0.18,0.06
fedlr,60,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.0,huga,0.84,0.8383838383838383,1.0,0.9120879120879121,0.83,0.99
fedlr,70,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.0,spambase,0.89,0.9010989010989011,0.9761904761904762,0.9371428571428572,0.84,0.91
fedlr,70,0.0125,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.0125,huga,0.64,0.6140350877192983,0.7142857142857143,0.660377358490566,0.49,0.57
fedlr,70,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.0125,spambase,0.86,0.8235294117647058,0.56,0.6666666666666666,0.25,0.17
fedlr,70,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.025,huga,0.9,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.11,0.03
fedlr,70,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,70,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.0,huga,0.79,0.8,0.9743589743589743,0.8786127167630058,0.78,0.95
fedlr,80,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.0,spambase,0.94,0.9340659340659341,1.0,0.9659090909090909,0.85,0.91
fedlr,80,0.0125,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.0125,huga,0.63,0.5,0.21621621621621623,0.3018867924528302,0.37,0.16
fedlr,80,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.0125,spambase,0.81,0.8333333333333334,0.21739130434782608,0.3448275862068966,0.23,0.06
fedlr,80,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.025,huga,0.91,1.0,0.1,0.18181818181818182,0.1,0.01
fedlr,80,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
